target,model,family,fold,n,r2,rmse,mae,medae,mape,smape,nrmse,max_error,explained_variance,pearson_r,spearman_rho
log10_retention_time_s,mlp,neural,3,3000.0,0.9004623484378428,1.330112632228181,0.5567590876887907,0.17126143198574137,323.61828508531397,44.114109834828696,0.09952868491979742,10.875475138860224,0.9008160651539694,0.9494142048409419,0.9643485901138014
log10_retention_time_s,mlp,neural,4,3000.0,0.8889605570415237,1.4168996276408719,0.5294237259695297,0.13898141004738906,157.212782883202,37.64298001151416,0.10659345577292334,11.53958331321636,0.8893753570093457,0.9430692459403157,0.9640230908312145
log10_retention_time_s,mlp_deep,neural,0,3000.0,0.9180251996095824,1.2137791224506034,0.4680411398003327,0.17291047750495564,120.2533073856084,39.15727886650746,0.09090274718789118,10.729666309478027,0.9183088405699956,0.9583185555563049,0.9737741975908664
log10_retention_time_s,mlp_deep,neural,1,3000.0,0.9075417880191973,1.2685616460972793,0.38201353898308427,0.09584498191996449,93.8918759515918,28.02666583935784,0.0952733902784714,12.134255065667599,0.9076974465650138,0.9529158478060419,0.9806550570472762
log10_retention_time_s,mlp_deep,neural,2,3000.0,0.9167861882359533,1.2144581403185775,0.40379005024505704,0.12541166925070826,93.85100811824493,34.417717754125505,0.0905496997654991,11.732111853973459,0.9167953713965087,0.9575927289064586,0.9772286796755044
log10_retention_time_s,mlp_deep,neural,3,3000.0,0.9228401222794045,1.1710905820367814,0.3858218645162507,0.11619454535638657,128.10076074497525,31.987680335593737,0.08762950048585479,11.132646434227011,0.9235237285148433,0.9610507930537717,0.983658751356048
log10_retention_time_s,mlp_deep,neural,4,3000.0,0.8918170985483946,1.3985556801294519,0.4775777840799903,0.13304009464479472,162.49422807721075,34.571588573851734,0.10521343934860188,12.359807288469653,0.8918376254142821,0.9445413983870643,0.9714757257079181
read_delay_ns,ridge,linear,0,3000.0,0.6332168300913028,5.78089576250245,4.292516430658082,3.388493003085146,168.37825514146746,66.9552597242558,0.14538264498030645,27.819625861190808,0.633448630663547,0.7960920387073434,0.9379176087341329
read_delay_ns,ridge,linear,1,3000.0,0.631983999658543,5.57935896582065,4.1639988409873965,3.2921517970652827,160.70125766530006,68.19654696252593,0.14010280121333554,24.776273724080394,0.6319938028522414,0.7949933998374219,0.9332309697811847
read_delay_ns,ridge,linear,2,3000.0,0.6407053866261003,5.5671247760668,4.164176110978803,3.342383146137435,170.44694741597368,67.37854835981273,0.14073431726165417,23.114115617637516,0.6407058899450749,0.8004500165629079,0.9357643149524009
read_delay_ns,ridge,linear,3,3000.0,0.6245398358154417,5.5696006759095,4.190288521197762,3.320324398522464,172.19934035388823,68.66554165219465,0.14010662188877168,25.651980216844652,0.6245680072155535,0.7910160535593032,0.933927120317894
read_delay_ns,ridge,linear,4,3000.0,0.633290327555982,5.5694272983620765,4.189089366452173,3.308654289279729,151.57035776338768,65.63109723556491,0.14054446413154933,25.934105836289568,0.6338579744201822,0.7961618342866369,0.9300590204354598
read_delay_ns,elasticnet,linear,0,3000.0,0.633016291852736,5.782475895305386,4.293236272064877,3.4014437700890086,168.43866462341052,66.9149108268724,0.14542238343879954,27.79160727925031,0.6332522330328555,0.7960031547432135,0.9384115892337385
read_delay_ns,elasticnet,linear,1,3000.0,0.6324400892064614,5.575900588718347,4.161277743442968,3.2935956965795423,160.7106789992492,68.16385557024593,0.1400159582045503,24.836056505399405,0.6324492594140317,0.7952907929450492,0.9339463138609058
read_delay_ns,elasticnet,linear,2,3000.0,0.6404792261419444,5.568876633064656,4.164741853465541,3.3243193762268426,170.48121892867366,67.37131270842485,0.14077860338931442,22.943218573694665,0.6404800942744777,0.8003183115549269,0.9362877876774056
read_delay_ns,elasticnet,linear,3,3000.0,0.6245006937915392,5.569890986017023,4.189273427648397,3.313689679824966,172.35682241432337,68.66188662880577,0.14011392481241594,25.608951490626175,0.6245288832409603,0.7909344691115616,0.9344999737149415
read_delay_ns,elasticnet,linear,4,3000.0,0.63286279590864,5.572672935172842,4.190086407998357,3.3245175153862823,151.76390296537298,65.56303302477534,0.14062636775680518,25.776165140735095,0.6334219632207542,0.7958944206721442,0.9304802935934726
read_delay_ns,poly2_ridge,linear,0,3000.0,0.8290996573670271,3.9460438359699745,2.604948753833315,1.8131508856083531,89.90815879591248,55.51191935114457,0.09923830382874965,33.66650389887894,0.8291648642215292,0.9106155488257178,0.9429074632913333
read_delay_ns,poly2_ridge,linear,1,3000.0,0.837393123927582,3.7086889193613564,2.4613022520333208,1.707686379142445,84.92348807604174,53.033852969143034,0.09312856720896757,26.638077913254982,0.8373931277100313,0.915296813442077,0.9476238984963076
read_delay_ns,poly2_ridge,linear,2,3000.0,0.8267177563031041,3.8661850175031853,2.5579356962399937,1.7381147564232169,89.12633179042523,55.527975056893375,0.0977353536577206,26.506578911113387,0.8267949095037748,0.9092872577428512,0.9444729052562582
read_delay_ns,poly2_ridge,linear,3,3000.0,0.8293968423615377,3.7543577887424284,2.4914316051513183,1.7326241150214208,79.4124740723524,54.51606742960684,0.09444310602332444,29.195228479105424,0.8294230844356312,0.910736856430116,0.9449113044284683
read_delay_ns,poly2_ridge,linear,4,3000.0,0.8246022615141027,3.8517789134222835,2.500345117280551,1.7213644030452135,79.9581680335514,51.92464298022733,0.09719961754404115,29.305024339788496,0.8247295013151451,0.9085627632671326,0.9460659868842354
