target,model,family,n_train,n_compare,n_test,fit_time_s,predict_us_per_sample,subsampled_to,cv_n_mean,cv_r2_mean,cv_rmse_mean,cv_mae_mean,cv_medae_mean,cv_mape_mean,cv_smape_mean,cv_nrmse_mean,cv_max_error_mean,cv_explained_variance_mean,cv_pearson_r_mean,cv_spearman_rho_mean,cv_n_std,cv_r2_std,cv_rmse_std,cv_mae_std,cv_medae_std,cv_mape_std,cv_smape_std,cv_nrmse_std,cv_max_error_std,cv_explained_variance_std,cv_pearson_r_std,cv_spearman_rho_std,test_n,test_r2,test_rmse,test_mae,test_medae,test_mape,test_smape,test_nrmse,test_max_error,test_explained_variance,test_pearson_r,test_spearman_rho,test_r2_ci_low,test_r2_ci_high,test_rmse_ci_low,test_rmse_ci_high,test_mae_ci_low,test_mae_ci_high,notes
read_delay_ns,hist_gbr,ensemble,33374,15000,5915,4.517,53.7523,,3000.0,0.9196796176148281,2.62503908668062,1.4114484115394794,0.5708144458888637,21.253081285748884,21.451019440373933,0.06611649323304694,22.7319531620551,0.9197132711351179,0.9595802782950911,0.9815947966158791,0.0,0.0024551694045761205,0.06047571281224185,0.03920414223994739,0.02414381711210695,0.339310104932433,0.40079875059317993,0.0016292438587090698,2.1060135067131585,0.0024371933481170775,0.0013829197879560134,0.0008615554263078583,5915.0,0.9353508000980603,2.3716695078939773,1.32828154916237,0.6007692300892451,22.728738414192247,23.72702434358048,0.05956901208869338,19.790454167947146,0.9353508110658708,0.9675473154972516,0.9815642190393996,0.9298082587187848,0.9405826205625281,2.2758505881881765,2.4757528884653275,1.282258521551175,1.3774644601830934,cross-validated on a 15000-row subsample; final model refitted on all 33374 development rows
read_delay_ns,xgboost,boosting,33374,15000,5915,16.2047,20.6086,,3000.0,0.9063217004111188,2.835096618465358,1.471842623823513,0.49110510995864864,18.27619045843656,16.6257833447975,0.07140642684473131,22.586050239562987,0.9063653187527043,0.9537262755359428,0.9834686786913899,0.0,0.0030890461353429875,0.07658747078877072,0.04420116138470821,0.008785282182991542,0.4131183416513379,0.40639552957819053,0.001999676890132695,1.580210757426864,0.0030675388452311414,0.0018660712442397516,0.0010720480112955564,5915.0,0.9386191847245218,2.310941326035191,1.166788634174992,0.4178209719848631,15.387103092250898,14.785681399931141,0.05804370774623348,19.37650696716308,0.9386275869331192,0.9697253639074151,0.9872605184417845,0.9325162070034109,0.9440745490863145,2.188892642919133,2.425451597488642,1.1180378204463761,1.2133278349573957,cross-validated on a 15000-row subsample; final model refitted on all 33374 development rows
read_delay_ns,lightgbm,boosting,33374,15000,5915,1.9778,6.7404,,3000.0,0.9189143331910621,2.6368572837450044,1.3760416954400825,0.513760913626747,18.794822375310783,18.134375659300694,0.06641599622495013,21.536029053601304,0.9189493355350397,0.9595643237924796,0.9834282886424509,0.0,0.004328156481653216,0.08255740841384966,0.040239429779551056,0.01583730604740265,0.3730603192114036,0.23975857193117267,0.002215625682506996,2.2263197196137527,0.004334599159140496,0.0025654650311015565,0.0012674373861865625,5915.0,0.9446148642732163,2.1951752875571127,1.137435907679473,0.4639893272301572,16.852731143803876,17.019337653263594,0.05513602245424504,20.017714952689357,0.9446174020090876,0.9723557338587293,0.9864631934524837,0.9391010478204277,0.950121057320039,2.0819525314345597,2.322825743965594,1.0867142461617831,1.1886250149445017,cross-validated on a 15000-row subsample; final model refitted on all 33374 development rows
read_delay_ns,catboost,boosting,33374,15000,5915,6.0325,2.3897,,3000.0,0.9365836795036107,2.3328456502313313,1.2379423330446286,0.5233839899704387,19.896804932213463,19.28790093585003,0.058756199990817534,20.97775783006221,0.936619158035105,0.9684000688430222,0.9831732791917182,0.0,0.0021277976877576675,0.07094999675127181,0.03523058038030367,0.024778695135062024,0.8630924722164498,0.7238801853163503,0.0018311136049977705,1.7154231523241104,0.002120031165415737,0.0011152633422129724,0.0008950804673936779,5915.0,0.9562087053093759,1.951940096685428,1.0516837313781364,0.474448481835954,17.983056850443166,18.076374805099036,0.04902670579895043,19.54925163651089,0.9562090494017285,0.9780922551368803,0.9843467340828644,0.9517643646853752,0.9604009732872062,1.8441578623226733,2.0600429921299277,1.0111918137203582,1.0954573464203914,cross-validated on a 15000-row subsample; final model refitted on all 33374 development rows
read_delay_ns,mlp,neural,33374,15000,5915,11.7775,1.6927,,3000.0,0.96790127057495,1.6582939471124347,0.7427392152910808,0.3225715517434048,12.63405901110112,12.438618847093803,0.041762658680626986,21.734398555272982,0.9681195679287032,0.9839568640853091,0.9907371677679488,0.0,0.003776230891408276,0.12127057163194259,0.05685235908396068,0.0304418422576201,0.842584295820829,1.1434798012735117,0.0030109611474062703,3.735248761835948,0.0036330090753154257,0.0018307975487036794,0.001068381977157666,5915.0,0.9848123518899653,1.149523504717465,0.5135045339336989,0.25980338459219254,10.504923330353028,11.45231372373144,0.02887247962704464,20.932771702540048,0.9848654100050417,0.992533557688412,0.9942062673744,0.9810541592826458,0.9879277059882267,1.023289143868153,1.2674848372782617,0.49085366839080113,0.5372034623899664,cross-validated on a 15000-row subsample; final model refitted on all 33374 development rows
read_delay_ns,mlp_deep,neural,33374,15000,5915,29.4414,2.3905,,3000.0,0.9710846880657625,1.572359122737106,0.6605747116701788,0.22451654069533533,8.672649940869297,8.393756807282635,0.039598553334477926,20.5336980838651,0.9711278564635825,0.9854938887478442,0.9940021555538934,0.0,0.004093598125427694,0.1298926780249052,0.04306480672570185,0.017622890913314863,0.7494859051338703,0.9066099774776314,0.0032386338258215248,1.9023917777223571,0.00412699920302798,0.002108324005703455,0.000427711058360174,5915.0,0.9877842890660626,1.0309366197182026,0.42366782265684005,0.16954760205848896,6.292638716440951,5.863751226933894,0.025893943383875406,16.840842338788338,0.9879439587940692,0.9939651249535637,0.9974054703596082,0.985153414830115,0.9901041124511695,0.9037456197955577,1.1546105498057924,0.40024713483814683,0.44889959757087167,cross-validated on a 15000-row subsample; final model refitted on all 33374 development rows
log10_total_power_nw,ridge,linear,42491,15000,7496,0.1306,1.1665,,3000.0,0.8644698126770001,0.14283774520847325,0.10797725938749447,0.0882468973874638,96.34895463489781,37.503594875810926,0.05032693714068318,1.2020772141385632,0.8645452433050371,0.9298167575958839,0.9427199612799955,0.0,0.002015841711626993,0.003050722920675971,0.00190341014815064,0.0016145413098660741,15.225231988447932,0.4681552794973744,0.0036328857909499637,0.18831727890577193,0.00206051355498593,0.001113512845747811,0.0017236671596392661,7496.0,0.8676764787549858,0.1429024745715605,0.1074369056026317,0.08778221901092934,93.88485694145712,37.6258961257446,0.04142948211837762,1.7421280531048446,0.8676795220602471,0.9314978700368406,0.9439872019115635,0.8599867260049229,0.8743293437505291,0.13804937433585393,0.1477744462951227,0.10497980754257769,0.10963221741347223,cross-validated on a 15000-row subsample; final model refitted on all 42491 development rows
log10_total_power_nw,elasticnet,linear,42491,15000,7496,2.1345,0.9677,,3000.0,0.8634679211191261,0.14336451175821513,0.10847061044764097,0.09017158626364474,96.1430156842341,37.750788885739425,0.05051223150520985,1.2164975597028822,0.8635397294193611,0.9292835837482624,0.9417067059674116,0.0,0.0021245821299267563,0.003087932193728626,0.0019393509331590085,0.0017228934270235015,13.452605775559467,0.4280803599890457,0.003646031005248165,0.18280451329385658,0.00216066007145934,0.001163073815374383,0.001956237132698078,7496.0,0.8666792004925645,0.14343996789883737,0.10804925162254249,0.08984038805276848,95.44198842903427,37.86224885132704,0.04158530916236637,1.748064616914285,0.8666842296808608,0.9309816538845588,0.9429524214098971,0.8577847588896096,0.8740317724316208,0.13904610929106434,0.14865065571440841,0.10609272095483469,0.11001935243051819,cross-validated on a 15000-row subsample; final model refitted on all 42491 development rows
log10_total_power_nw,poly2_ridge,linear,42491,15000,7496,0.3759,3.5137,,3000.0,0.9403814149219327,0.09472810710378203,0.06706172679007752,0.050626603763437014,58.594806052253624,27.5623059306296,0.033357646079873474,1.064556686588619,0.9404484736150698,0.9697724149263316,0.9737276901475209,0.0,0.0031306213161485363,0.0037280748375780304,0.001288481669013439,0.00080506753001516,4.739253922147629,0.7255274770556921,0.0023725967290997405,0.26860407726992463,0.003160709437630378,0.0016254891363752047,0.0006507181463043519,7496.0,0.93869103322381,0.09727096473325653,0.06660725308601147,0.04982700525122802,53.90352476685827,26.603829749311565,0.028200251298208044,1.8531463327835382,0.9386985590117849,0.9688646966135003,0.9739992944342087,0.9306481452774683,0.9449656450946556,0.09197705928838865,0.104167932333407,0.06514197241621417,0.06818267857597261,cross-validated on a 15000-row subsample; final model refitted on all 42491 development rows
log10_total_power_nw,knn,neighbour,42491,15000,7496,0.0887,120.662,,3000.0,0.7906359913996317,0.17751821787099636,0.1294275734897776,0.09831388043719402,138.26014879091218,41.64931495981719,0.06256747242384983,1.2572189646074272,0.7909151477610938,0.9079913581472077,0.9183986612442954,0.0,0.002596801263832793,0.0029044446031769445,0.0016267656128426413,0.0009800531530376577,18.292195151827276,0.6921114026106279,0.004733561690564931,0.14626979141894825,0.002728567104549507,0.0022266032674792234,0.0010472576432195237,7496.0,0.829752934914268,0.16209179869508314,0.11589945114279734,0.08629477061560972,131.69219494487905,39.50482844285475,0.04699274309774662,1.8000203236522956,0.829833650114074,0.9238264039743361,0.9325827960126292,0.8201465056536235,0.8375222481771257,0.15699386482901687,0.16773103442385373,0.11301994975152671,0.11851623668826387,cross-validated on a 15000-row subsample; final model refitted on all 42491 development rows
