group_1,group_2,n_pairs,statistic,p_value,median_1,median_2,cliffs_delta,effect_magnitude,a12,p_value_holm,significant
gpr,poly2_ridge,5,0.0,0.0625,0.9400279535061978,0.9315921098714192,0.84,large,0.92,1.0,False
gpr,random_forest,5,0.0,0.0625,0.9400279535061978,0.8119284833370727,1.0,large,1.0,1.0,False
gpr,ridge,5,0.0,0.0625,0.9400279535061978,0.6882058855502888,1.0,large,1.0,1.0,False
gpr,svr_rbf,5,0.0,0.0625,0.9400279535061978,0.9272624629151792,1.0,large,1.0,1.0,False
gpr,xgboost,5,0.0,0.0625,0.9400279535061978,0.9699317770874208,-1.0,large,0.0,1.0,False
hist_gbr,knn,5,0.0,0.0625,0.9765399315401352,0.7389209945671755,1.0,large,1.0,1.0,False
hist_gbr,lightgbm,5,0.0,0.0625,0.9765399315401352,0.9774050997559982,-0.44,medium,0.28,1.0,False
hist_gbr,mlp,5,0.0,0.0625,0.9765399315401352,0.9884604447433244,-0.92,large,0.04,1.0,False
hist_gbr,mlp_deep,5,0.0,0.0625,0.9765399315401352,0.9937741975410794,-1.0,large,0.0,1.0,False
hist_gbr,poly2_ridge,5,0.0,0.0625,0.9765399315401352,0.9315921098714192,1.0,large,1.0,1.0,False
hist_gbr,random_forest,5,0.0,0.0625,0.9765399315401352,0.8119284833370727,1.0,large,1.0,1.0,False
hist_gbr,ridge,5,0.0,0.0625,0.9765399315401352,0.6882058855502888,1.0,large,1.0,1.0,False
hist_gbr,svr_rbf,5,0.0,0.0625,0.9765399315401352,0.9272624629151792,1.0,large,1.0,1.0,False
hist_gbr,xgboost,5,0.0,0.0625,0.9765399315401352,0.9699317770874208,1.0,large,1.0,1.0,False
knn,lightgbm,5,0.0,0.0625,0.7389209945671755,0.9774050997559982,-1.0,large,0.0,1.0,False
knn,mlp,5,0.0,0.0625,0.7389209945671755,0.9884604447433244,-1.0,large,0.0,1.0,False
knn,mlp_deep,5,0.0,0.0625,0.7389209945671755,0.9937741975410794,-1.0,large,0.0,1.0,False
knn,poly2_ridge,5,0.0,0.0625,0.7389209945671755,0.9315921098714192,-1.0,large,0.0,1.0,False
knn,random_forest,5,0.0,0.0625,0.7389209945671755,0.8119284833370727,-1.0,large,0.0,1.0,False
knn,ridge,5,0.0,0.0625,0.7389209945671755,0.6882058855502888,1.0,large,1.0,1.0,False
knn,svr_rbf,5,0.0,0.0625,0.7389209945671755,0.9272624629151792,-1.0,large,0.0,1.0,False
knn,xgboost,5,0.0,0.0625,0.7389209945671755,0.9699317770874208,-1.0,large,0.0,1.0,False
lightgbm,mlp,5,0.0,0.0625,0.9774050997559982,0.9884604447433244,-0.92,large,0.04,1.0,False
lightgbm,mlp_deep,5,0.0,0.0625,0.9774050997559982,0.9937741975410794,-1.0,large,0.0,1.0,False
lightgbm,poly2_ridge,5,0.0,0.0625,0.9774050997559982,0.9315921098714192,1.0,large,1.0,1.0,False
lightgbm,random_forest,5,0.0,0.0625,0.9774050997559982,0.8119284833370727,1.0,large,1.0,1.0,False
lightgbm,ridge,5,0.0,0.0625,0.9774050997559982,0.6882058855502888,1.0,large,1.0,1.0,False
lightgbm,svr_rbf,5,0.0,0.0625,0.9774050997559982,0.9272624629151792,1.0,large,1.0,1.0,False
lightgbm,xgboost,5,0.0,0.0625,0.9774050997559982,0.9699317770874208,1.0,large,1.0,1.0,False
mlp,mlp_deep,5,1.0,0.125,0.9884604447433244,0.9937741975410794,-0.68,large,0.16,1.0,False
mlp,poly2_ridge,5,0.0,0.0625,0.9884604447433244,0.9315921098714192,1.0,large,1.0,1.0,False
mlp,random_forest,5,0.0,0.0625,0.9884604447433244,0.8119284833370727,1.0,large,1.0,1.0,False
mlp,ridge,5,0.0,0.0625,0.9884604447433244,0.6882058855502888,1.0,large,1.0,1.0,False
mlp,svr_rbf,5,0.0,0.0625,0.9884604447433244,0.9272624629151792,1.0,large,1.0,1.0,False
mlp,xgboost,5,0.0,0.0625,0.9884604447433244,0.9699317770874208,1.0,large,1.0,1.0,False
mlp_deep,poly2_ridge,5,0.0,0.0625,0.9937741975410794,0.9315921098714192,1.0,large,1.0,1.0,False
mlp_deep,random_forest,5,0.0,0.0625,0.9937741975410794,0.8119284833370727,1.0,large,1.0,1.0,False
mlp_deep,ridge,5,0.0,0.0625,0.9937741975410794,0.6882058855502888,1.0,large,1.0,1.0,False
mlp_deep,svr_rbf,5,0.0,0.0625,0.9937741975410794,0.9272624629151792,1.0,large,1.0,1.0,False
mlp_deep,xgboost,5,0.0,0.0625,0.9937741975410794,0.9699317770874208,1.0,large,1.0,1.0,False
poly2_ridge,random_forest,5,0.0,0.0625,0.9315921098714192,0.8119284833370727,1.0,large,1.0,1.0,False
poly2_ridge,ridge,5,0.0,0.0625,0.9315921098714192,0.6882058855502888,1.0,large,1.0,1.0,False
poly2_ridge,svr_rbf,5,0.0,0.0625,0.9315921098714192,0.9272624629151792,0.76,large,0.88,1.0,False
poly2_ridge,xgboost,5,0.0,0.0625,0.9315921098714192,0.9699317770874208,-1.0,large,0.0,1.0,False
random_forest,ridge,5,0.0,0.0625,0.8119284833370727,0.6882058855502888,1.0,large,1.0,1.0,False
random_forest,svr_rbf,5,0.0,0.0625,0.8119284833370727,0.9272624629151792,-1.0,large,0.0,1.0,False
random_forest,xgboost,5,0.0,0.0625,0.8119284833370727,0.9699317770874208,-1.0,large,0.0,1.0,False
ridge,svr_rbf,5,0.0,0.0625,0.6882058855502888,0.9272624629151792,-1.0,large,0.0,1.0,False
ridge,xgboost,5,0.0,0.0625,0.6882058855502888,0.9699317770874208,-1.0,large,0.0,1.0,False
svr_rbf,xgboost,5,0.0,0.0625,0.9272624629151792,0.9699317770874208,-1.0,large,0.0,1.0,False
