group_1,group_2,n_pairs,statistic,p_value,median_1,median_2,cliffs_delta,effect_magnitude,a12,p_value_holm,significant
elasticnet,poly2_ridge,5,0.0,0.0625,0.63286279590864,0.8290996573670271,-1.0,large,0.0,1.0,False
elasticnet,random_forest,5,0.0,0.0625,0.63286279590864,0.8501603741959121,-1.0,large,0.0,1.0,False
elasticnet,ridge,5,5.0,0.625,0.63286279590864,0.6332168300913028,-0.2,small,0.4,1.0,False
elasticnet,svr_rbf,5,0.0,0.0625,0.63286279590864,0.8085173675090638,-1.0,large,0.0,1.0,False
elasticnet,xgboost,5,0.0,0.0625,0.63286279590864,0.9064518366810128,-1.0,large,0.0,1.0,False
extra_trees,gpr,5,0.0,0.0625,0.8476307107084395,0.801488890755065,1.0,large,1.0,1.0,False
extra_trees,hist_gbr,5,0.0,0.0625,0.8476307107084395,0.921019557459654,-1.0,large,0.0,1.0,False
extra_trees,knn,5,0.0,0.0625,0.8476307107084395,0.5216927579891337,1.0,large,1.0,1.0,False
extra_trees,lightgbm,5,0.0,0.0625,0.8476307107084395,0.9201517277446104,-1.0,large,0.0,1.0,False
extra_trees,mlp,5,0.0,0.0625,0.8476307107084395,0.9700526459651126,-1.0,large,0.0,1.0,False
extra_trees,mlp_deep,5,0.0,0.0625,0.8476307107084395,0.9723127451264356,-1.0,large,0.0,1.0,False
extra_trees,poly2_ridge,5,0.0,0.0625,0.8476307107084395,0.8290996573670271,1.0,large,1.0,1.0,False
extra_trees,random_forest,5,0.0,0.0625,0.8476307107084395,0.8501603741959121,-0.52,large,0.24,1.0,False
extra_trees,ridge,5,0.0,0.0625,0.8476307107084395,0.6332168300913028,1.0,large,1.0,1.0,False
extra_trees,svr_rbf,5,0.0,0.0625,0.8476307107084395,0.8085173675090638,1.0,large,1.0,1.0,False
extra_trees,xgboost,5,0.0,0.0625,0.8476307107084395,0.9064518366810128,-1.0,large,0.0,1.0,False
gpr,hist_gbr,5,0.0,0.0625,0.801488890755065,0.921019557459654,-1.0,large,0.0,1.0,False
