group_1,group_2,mean_rank_1,mean_rank_2,rank_difference,critical_difference,significant,z,p_value_adjusted
lightgbm,poly2_ridge,3.0,7.0,4.0,8.873849897310638,False,1.5118578920369088,1.0
lightgbm,random_forest,3.0,9.4,6.4,8.873849897310638,False,2.418972627259054,1.0
lightgbm,ridge,3.0,12.0,9.0,8.873849897310638,True,3.401680257083045,1.0
lightgbm,svr_rbf,3.0,9.8,6.800000000000001,8.873849897310638,False,2.5701584164627453,1.0
lightgbm,xgboost,3.0,4.8,1.7999999999999998,8.873849897310638,False,0.6803360514166089,1.0
mlp,mlp_deep,5.2,1.0,4.2,8.873849897310638,False,1.5874507866387544,1.0
mlp,poly2_ridge,5.2,7.0,1.7999999999999998,8.873849897310638,False,0.6803360514166089,1.0
mlp,random_forest,5.2,9.4,4.2,8.873849897310638,False,1.5874507866387544,1.0
mlp,ridge,5.2,12.0,6.8,8.873849897310638,False,2.570158416462745,1.0
mlp,svr_rbf,5.2,9.8,4.6000000000000005,8.873849897310638,False,1.7386365758424454,1.0
mlp,xgboost,5.2,4.8,0.40000000000000036,8.873849897310638,False,0.15118578920369102,1.0
mlp_deep,poly2_ridge,1.0,7.0,6.0,8.873849897310638,False,2.2677868380553634,1.0
mlp_deep,random_forest,1.0,9.4,8.4,8.873849897310638,False,3.1749015732775088,1.0
mlp_deep,ridge,1.0,12.0,11.0,8.873849897310638,True,4.157609203101499,0.2987949497322808
mlp_deep,svr_rbf,1.0,9.8,8.8,8.873849897310638,False,3.3260873624811995,1.0
mlp_deep,xgboost,1.0,4.8,3.8,8.873849897310638,False,1.4362649974350634,1.0
poly2_ridge,random_forest,7.0,9.4,2.4000000000000004,8.873849897310638,False,0.9071147352221455,1.0
poly2_ridge,ridge,7.0,12.0,5.0,8.873849897310638,False,1.889822365046136,1.0
poly2_ridge,svr_rbf,7.0,9.8,2.8000000000000007,8.873849897310638,False,1.0583005244258366,1.0
poly2_ridge,xgboost,7.0,4.8,2.2,8.873849897310638,False,0.8315218406202999,1.0
random_forest,ridge,9.4,12.0,2.5999999999999996,8.873849897310638,False,0.9827076298239906,1.0
random_forest,svr_rbf,9.4,9.8,0.40000000000000036,8.873849897310638,False,0.15118578920369102,1.0
random_forest,xgboost,9.4,4.8,4.6000000000000005,8.873849897310638,False,1.7386365758424454,1.0
ridge,svr_rbf,12.0,9.8,2.1999999999999993,8.873849897310638,False,0.8315218406202995,1.0
ridge,xgboost,12.0,4.8,7.2,8.873849897310638,False,2.721344205666436,1.0
svr_rbf,xgboost,9.8,4.8,5.000000000000001,8.873849897310638,False,1.8898223650461363,1.0
