group_1,group_2,mean_rank_1,mean_rank_2,rank_difference,critical_difference,significant,z,p_value_adjusted
gpr,ridge,9.8,13.4,3.5999999999999996,8.873849897310638,False,1.3606721028332178,1.0
gpr,svr_rbf,9.8,11.0,1.1999999999999993,8.873849897310638,False,0.4535573676110724,1.0
gpr,xgboost,9.8,5.2,4.6000000000000005,8.873849897310638,False,1.7386365758424454,1.0
hist_gbr,knn,5.6,12.0,6.4,8.873849897310638,False,2.418972627259054,1.0
hist_gbr,lightgbm,5.6,4.2,1.3999999999999995,8.873849897310638,False,0.5291502622129179,1.0
hist_gbr,mlp,5.6,1.6,3.9999999999999996,8.873849897310638,False,1.5118578920369086,1.0
hist_gbr,mlp_deep,5.6,1.4,4.199999999999999,8.873849897310638,False,1.587450786638754,1.0
hist_gbr,poly2_ridge,5.6,8.4,2.8000000000000007,8.873849897310638,False,1.0583005244258366,1.0
hist_gbr,random_forest,5.6,8.8,3.200000000000001,8.873849897310638,False,1.2094863136295275,1.0
hist_gbr,ridge,5.6,13.4,7.800000000000001,8.873849897310638,False,2.9481228894719727,1.0
hist_gbr,svr_rbf,5.6,11.0,5.4,8.873849897310638,False,2.041008154249827,1.0
hist_gbr,xgboost,5.6,5.2,0.39999999999999947,8.873849897310638,False,0.1511857892036907,1.0
knn,lightgbm,12.0,4.2,7.8,8.873849897310638,False,2.948122889471972,1.0
knn,mlp,12.0,1.6,10.4,8.873849897310638,True,3.930830519295963,0.49540234427343277
knn,mlp_deep,12.0,1.4,10.6,8.873849897310638,True,4.006423413897808,0.41967229386878335
knn,poly2_ridge,12.0,8.4,3.5999999999999996,8.873849897310638,False,1.3606721028332178,1.0
knn,random_forest,12.0,8.8,3.1999999999999993,8.873849897310638,False,1.2094863136295269,1.0
knn,ridge,12.0,13.4,1.4000000000000004,8.873849897310638,False,0.5291502622129183,1.0
knn,svr_rbf,12.0,11.0,1.0,8.873849897310638,False,0.3779644730092272,1.0
knn,xgboost,12.0,5.2,6.8,8.873849897310638,False,2.570158416462745,1.0
lightgbm,mlp,4.2,1.6,2.6,8.873849897310638,False,0.9827076298239907,1.0
lightgbm,mlp_deep,4.2,1.4,2.8000000000000003,8.873849897310638,False,1.0583005244258363,1.0
lightgbm,poly2_ridge,4.2,8.4,4.2,8.873849897310638,False,1.5874507866387544,1.0
lightgbm,random_forest,4.2,8.8,4.6000000000000005,8.873849897310638,False,1.7386365758424454,1.0
lightgbm,ridge,4.2,13.4,9.2,8.873849897310638,True,3.4772731516848903,1.0
lightgbm,svr_rbf,4.2,11.0,6.8,8.873849897310638,False,2.570158416462745,1.0
lightgbm,xgboost,4.2,5.2,1.0,8.873849897310638,False,0.3779644730092272,1.0
mlp,mlp_deep,1.6,1.4,0.20000000000000018,8.873849897310638,False,0.07559289460184551,1.0
mlp,poly2_ridge,1.6,8.4,6.800000000000001,8.873849897310638,False,2.5701584164627453,1.0
mlp,random_forest,1.6,8.8,7.200000000000001,8.873849897310638,False,2.721344205666436,1.0
mlp,ridge,1.6,13.4,11.8,8.873849897310638,True,4.459980781508881,0.14671411350713792
mlp,svr_rbf,1.6,11.0,9.4,8.873849897310638,True,3.552866046286736,1.0
mlp,xgboost,1.6,5.2,3.6,8.873849897310638,False,1.360672102833218,1.0
mlp_deep,poly2_ridge,1.4,8.4,7.0,8.873849897310638,False,2.6457513110645903,1.0
mlp_deep,random_forest,1.4,8.8,7.4,8.873849897310638,False,2.7969371002682815,1.0
mlp_deep,ridge,1.4,13.4,12.0,8.873849897310638,True,4.535573676110727,0.1219983416678776
mlp_deep,svr_rbf,1.4,11.0,9.6,8.873849897310638,True,3.628458940888581,0.9369859564628049
mlp_deep,xgboost,1.4,5.2,3.8000000000000003,8.873849897310638,False,1.4362649974350634,1.0
poly2_ridge,random_forest,8.4,8.8,0.40000000000000036,8.873849897310638,False,0.15118578920369102,1.0
poly2_ridge,ridge,8.4,13.4,5.0,8.873849897310638,False,1.889822365046136,1.0
poly2_ridge,svr_rbf,8.4,11.0,2.5999999999999996,8.873849897310638,False,0.9827076298239906,1.0
poly2_ridge,xgboost,8.4,5.2,3.2,8.873849897310638,False,1.209486313629527,1.0
random_forest,ridge,8.8,13.4,4.6,8.873849897310638,False,1.7386365758424451,1.0
random_forest,svr_rbf,8.8,11.0,2.1999999999999993,8.873849897310638,False,0.8315218406202995,1.0
random_forest,xgboost,8.8,5.2,3.6000000000000005,8.873849897310638,False,1.360672102833218,1.0
ridge,svr_rbf,13.4,11.0,2.4000000000000004,8.873849897310638,False,0.9071147352221455,1.0
ridge,xgboost,13.4,5.2,8.2,8.873849897310638,False,3.099308678675663,1.0
svr_rbf,xgboost,11.0,5.2,5.8,8.873849897310638,False,2.1921939434535176,1.0
