algorithm,label,run,generation,n_evaluations,n_nondominated,hypervolume
nsga2,NSGA-II,4,7,700,100,1284.1209120120052
nsga2,NSGA-II,4,8,800,100,1517.3208936217636
nsga2,NSGA-II,4,9,900,100,1736.405885296394
nsga2,NSGA-II,4,10,1000,100,1795.0384525197828
nsga2,NSGA-II,4,11,1100,100,1892.853380961149
nsga2,NSGA-II,4,12,1200,100,1894.7480827292816
nsga2,NSGA-II,4,13,1300,100,1915.255028343519
nsga2,NSGA-II,4,14,1400,100,1946.2254636131252
nsga2,NSGA-II,4,15,1500,100,2043.6485897472437
nsga2,NSGA-II,4,16,1600,100,2085.530594746147
nsga2,NSGA-II,4,17,1700,100,2086.7515894247863
nsga2,NSGA-II,4,18,1800,100,2089.937302036329
nsga2,NSGA-II,4,19,1900,100,2180.783640416581
nsga2,NSGA-II,4,20,2000,100,2193.2421645241106
nsga2,NSGA-II,4,21,2100,100,2248.5973894933186
nsga2,NSGA-II,4,22,2200,100,2243.1955474977094
nsga2,NSGA-II,4,23,2300,100,2443.473556529907
nsga2,NSGA-II,4,24,2400,100,2533.696115628104
nsga2,NSGA-II,4,25,2500,100,2620.8258297040043
nsga2,NSGA-II,4,26,2600,100,2642.680506331197
nsga2,NSGA-II,4,27,2700,100,2715.2655411125806
nsga2,NSGA-II,4,28,2800,100,2735.771422597297
nsga2,NSGA-II,4,29,2900,100,2745.480500089772
nsga2,NSGA-II,4,30,3000,100,2811.9206073968608
nsga2,NSGA-II,4,31,3100,100,2837.77995151676
nsga2,NSGA-II,4,32,3200,100,2889.0347928725114
nsga2,NSGA-II,4,33,3300,100,2876.7498265305494
nsga2,NSGA-II,4,34,3400,100,2912.833137559543
nsga2,NSGA-II,4,35,3500,100,2931.526901846717
nsga2,NSGA-II,4,36,3600,100,2946.3106589093895
nsga2,NSGA-II,4,37,3700,100,2969.090068491944
nsga2,NSGA-II,4,38,3800,100,3005.2437866658493
nsga2,NSGA-II,4,39,3900,100,3014.756193851449
nsga2,NSGA-II,4,40,4000,100,3026.9279279082484
nsga2,NSGA-II,5,1,100,15,528.6735799444721
nsga2,NSGA-II,5,2,200,28,649.4505717581445
nsga2,NSGA-II,5,3,300,38,733.9133077962496
nsga2,NSGA-II,5,4,400,53,918.8046161431191
nsga2,NSGA-II,5,5,500,74,1014.2737255828439
nsga2,NSGA-II,5,6,600,100,1117.1024266662575
nsga2,NSGA-II,5,7,700,100,1661.2652261483213
nsga2,NSGA-II,5,8,800,100,1708.8519478777625
nsga2,NSGA-II,5,9,900,100,1969.786034278506
nsga2,NSGA-II,5,10,1000,100,2029.9348283412485
nsga2,NSGA-II,5,11,1100,100,2055.3129690077913
nsga2,NSGA-II,5,12,1200,100,2096.21720852848
nsga2,NSGA-II,5,13,1300,100,2104.7886764975674
nsga2,NSGA-II,5,14,1400,100,2162.4737009814494
nsga2,NSGA-II,5,15,1500,100,2162.3436281183212
nsga2,NSGA-II,5,16,1600,100,2218.6155454304744
nsga2,NSGA-II,5,17,1700,100,2246.009981834781
nsga2,NSGA-II,5,18,1800,100,2245.1237189689627
nsga2,NSGA-II,5,19,1900,100,2231.5899809742195
nsga2,NSGA-II,5,20,2000,100,2375.2290108358593
nsga2,NSGA-II,5,21,2100,100,2450.6156793901723
nsga2,NSGA-II,5,22,2200,100,2462.6277647111956
nsga2,NSGA-II,5,23,2300,100,2420.6374900128512
nsga2,NSGA-II,5,24,2400,100,2455.194705996391
nsga2,NSGA-II,5,25,2500,100,2510.5097540008655
nsga2,NSGA-II,5,26,2600,100,2541.170460222279
nsga2,NSGA-II,5,27,2700,100,2539.8882536839874
nsga2,NSGA-II,5,28,2800,100,2550.6921496737828
nsga2,NSGA-II,5,29,2900,100,2595.836970801509
nsga2,NSGA-II,5,30,3000,100,2599.4914649990915
nsga2,NSGA-II,5,31,3100,100,2645.7294681200183
nsga2,NSGA-II,5,32,3200,100,2675.9704074289057
nsga2,NSGA-II,5,33,3300,100,2725.5606146080954
nsga2,NSGA-II,5,34,3400,100,2716.047944180308
nsga2,NSGA-II,5,35,3500,100,2793.5832263989187
nsga2,NSGA-II,5,36,3600,100,2749.118497458414
nsga2,NSGA-II,5,37,3700,100,2777.2274664775296
nsga2,NSGA-II,5,38,3800,100,2791.9552170458214
nsga2,NSGA-II,5,39,3900,100,2807.883999613383
nsga2,NSGA-II,5,40,4000,100,2869.6584401201844
nsga2,NSGA-II,6,1,100,12,516.0766505891044
nsga2,NSGA-II,6,2,200,22,752.1072573099068
nsga2,NSGA-II,6,3,300,45,981.4551255940607
nsga2,NSGA-II,6,4,400,54,1268.3794579588935
nsga2,NSGA-II,6,5,500,78,1405.1509328504278
nsga2,NSGA-II,6,6,600,100,1490.7415292756714
nsga2,NSGA-II,6,7,700,100,1567.3169677899689
nsga2,NSGA-II,6,8,800,100,1607.3195174271925
nsga2,NSGA-II,6,9,900,100,1686.4499405791332
nsga2,NSGA-II,6,10,1000,100,1835.0106356416084
nsga2,NSGA-II,6,11,1100,100,1842.5323693233638
nsga2,NSGA-II,6,12,1200,100,1880.06256841148
nsga2,NSGA-II,6,13,1300,100,1972.8156888598198
nsga2,NSGA-II,6,14,1400,100,1993.7190500854815
nsga2,NSGA-II,6,15,1500,100,2005.32107584123
nsga2,NSGA-II,6,16,1600,100,2025.375805495359
nsga2,NSGA-II,6,17,1700,100,2021.4687886241657
nsga2,NSGA-II,6,18,1800,100,2092.674802525006
nsga2,NSGA-II,6,19,1900,100,2108.942391588447
nsga2,NSGA-II,6,20,2000,100,2122.0943714634914
nsga2,NSGA-II,6,21,2100,100,2177.4856093412623
nsga2,NSGA-II,6,22,2200,100,2167.66234941874
nsga2,NSGA-II,6,23,2300,100,2235.9328685803844
nsga2,NSGA-II,6,24,2400,100,2265.3792530727974
nsga2,NSGA-II,6,25,2500,100,2288.7715145680354
nsga2,NSGA-II,6,26,2600,100,2409.5433100413234
nsga2,NSGA-II,6,27,2700,100,2419.0773363414687
nsga2,NSGA-II,6,28,2800,100,2424.3279343863633
nsga2,NSGA-II,6,29,2900,100,2462.335284505917
nsga2,NSGA-II,6,30,3000,100,2470.6958154681747
nsga2,NSGA-II,6,31,3100,100,2555.546759464902
nsga2,NSGA-II,6,32,3200,100,2534.0244852455803
nsga2,NSGA-II,6,33,3300,100,2577.477048003084
nsga2,NSGA-II,6,34,3400,100,2663.566358338874
nsga2,NSGA-II,6,35,3500,100,2720.551928709977
nsga2,NSGA-II,6,36,3600,100,2748.0196838826632
nsga2,NSGA-II,6,37,3700,100,2777.385104427824
nsga2,NSGA-II,6,38,3800,100,2781.0839591231797
nsga2,NSGA-II,6,39,3900,100,2813.434536081722
nsga2,NSGA-II,6,40,4000,100,2845.7748371152848
nsga3,NSGA-III,0,1,100,8,664.249022816844
nsga3,NSGA-III,0,2,200,9,800.6163802069735
nsga3,NSGA-III,0,3,300,12,823.5829383050753
nsga3,NSGA-III,0,4,400,11,958.5699394057249
nsga3,NSGA-III,0,5,500,17,1017.1509247347452
nsga3,NSGA-III,0,6,600,22,1054.1861077422798
nsga3,NSGA-III,0,7,700,23,1299.8930379409173
nsga3,NSGA-III,0,8,800,25,1327.3876960413165
nsga3,NSGA-III,0,9,900,23,1628.854490338867
nsga3,NSGA-III,0,10,1000,24,1645.8441452634593
nsga3,NSGA-III,0,11,1100,27,1682.82310979137
nsga3,NSGA-III,0,12,1200,28,1719.1085224546823
nsga3,NSGA-III,0,13,1300,25,1696.6158638888369
nsga3,NSGA-III,0,14,1400,32,1824.459015591368
nsga3,NSGA-III,0,15,1500,33,1889.7348307875318
nsga3,NSGA-III,0,16,1600,37,1907.2466218825998
nsga3,NSGA-III,0,17,1700,34,1902.3938160617681
nsga3,NSGA-III,0,18,1800,32,2029.9792368115495
nsga3,NSGA-III,0,19,1900,35,2064.513803832654
nsga3,NSGA-III,0,20,2000,31,2080.8012747867874
nsga3,NSGA-III,0,21,2100,35,2117.294642731312
nsga3,NSGA-III,0,22,2200,33,2110.4146245593543
nsga3,NSGA-III,0,23,2300,34,2150.546761004141
nsga3,NSGA-III,0,24,2400,35,2248.081928029611
nsga3,NSGA-III,0,25,2500,36,2267.135058218426
nsga3,NSGA-III,0,26,2600,35,2268.9317529082386
nsga3,NSGA-III,0,27,2700,31,2443.2020545253145
nsga3,NSGA-III,0,28,2800,33,2489.8705129239406
nsga3,NSGA-III,0,29,2900,34,2498.0790206469505
nsga3,NSGA-III,0,30,3000,36,2505.775433606849
nsga3,NSGA-III,0,31,3100,35,2537.641945864325
nsga3,NSGA-III,0,32,3200,34,2581.3385311287957
nsga3,NSGA-III,0,33,3300,34,2556.7193518625063
nsga3,NSGA-III,0,34,3400,35,2585.9907943380467
nsga3,NSGA-III,0,35,3500,36,2606.0247566760772
nsga3,NSGA-III,0,36,3600,37,2602.6058125765258
nsga3,NSGA-III,0,37,3700,37,2623.8673599368885
nsga3,NSGA-III,0,38,3800,37,2610.270281125359
nsga3,NSGA-III,0,39,3900,37,2610.780389745395
nsga3,NSGA-III,0,40,4000,38,2686.719205108479
nsga3,NSGA-III,1,1,100,6,538.5708270019386
nsga3,NSGA-III,1,2,200,8,609.3484333784636
nsga3,NSGA-III,1,3,300,11,699.5024281968103
nsga3,NSGA-III,1,4,400,14,818.3585199021632
nsga3,NSGA-III,1,5,500,15,842.3287765384725
nsga3,NSGA-III,1,6,600,18,1018.8484004779305
nsga3,NSGA-III,1,7,700,27,1193.9336748207068
nsga3,NSGA-III,1,8,800,23,1140.318784023544
nsga3,NSGA-III,1,9,900,24,1307.7127109770463
nsga3,NSGA-III,1,10,1000,30,1352.5528829092598
nsga3,NSGA-III,1,11,1100,27,1600.9976724723667
nsga3,NSGA-III,1,12,1200,25,1670.4377392723063
nsga3,NSGA-III,1,13,1300,27,1693.8358613588732
nsga3,NSGA-III,1,14,1400,32,1702.785538257001
nsga3,NSGA-III,1,15,1500,30,1846.0478170916622
nsga3,NSGA-III,1,16,1600,34,1898.3288115791272
nsga3,NSGA-III,1,17,1700,32,2039.3102952764373
nsga3,NSGA-III,1,18,1800,34,2058.279575826666
nsga3,NSGA-III,1,19,1900,31,1968.228641612977
nsga3,NSGA-III,1,20,2000,34,2044.1581936903715
nsga3,NSGA-III,1,21,2100,34,2161.5465159011383
nsga3,NSGA-III,1,22,2200,34,2171.1870800118686
nsga3,NSGA-III,1,23,2300,34,2173.6738236459723
nsga3,NSGA-III,1,24,2400,32,2237.0667933070226
nsga3,NSGA-III,1,25,2500,32,2244.5004105806343
nsga3,NSGA-III,1,26,2600,35,2265.6473913173513
nsga3,NSGA-III,1,27,2700,35,2384.088923559031
nsga3,NSGA-III,1,28,2800,35,2386.312900217698
nsga3,NSGA-III,1,29,2900,38,2410.5183640544437
nsga3,NSGA-III,1,30,3000,33,2472.8614546363424
nsga3,NSGA-III,1,31,3100,36,2483.708910963641
nsga3,NSGA-III,1,32,3200,39,2503.662367331011
nsga3,NSGA-III,1,33,3300,34,2628.3481454318317
nsga3,NSGA-III,1,34,3400,34,2617.9565284392665
nsga3,NSGA-III,1,35,3500,35,2618.721949575947
nsga3,NSGA-III,1,36,3600,35,2618.6054222485477
nsga3,NSGA-III,1,37,3700,37,2784.440532664866
nsga3,NSGA-III,1,38,3800,37,2775.2818163984057
nsga3,NSGA-III,1,39,3900,38,2781.475841664078
nsga3,NSGA-III,1,40,4000,40,2797.926014129418
nsga3,NSGA-III,2,1,100,10,407.5116990763473
nsga3,NSGA-III,2,2,200,9,507.7228119651515
nsga3,NSGA-III,2,3,300,10,516.3661424994107
nsga3,NSGA-III,2,4,400,11,544.0059408539566
nsga3,NSGA-III,2,5,500,15,739.4554037565734
nsga3,NSGA-III,2,6,600,17,876.6419021126201
nsga3,NSGA-III,2,7,700,19,940.4833748665442
nsga3,NSGA-III,2,8,800,23,1148.1747959652
nsga3,NSGA-III,2,9,900,23,1322.4268272542377
nsga3,NSGA-III,2,10,1000,21,1337.2930827577175
nsga3,NSGA-III,2,11,1100,24,1394.5604533952906
nsga3,NSGA-III,2,12,1200,23,1703.4369889868487
nsga3,NSGA-III,2,13,1300,27,1757.1893725607047
nsga3,NSGA-III,2,14,1400,28,1862.8792146061332
nsga3,NSGA-III,2,15,1500,27,1902.6282716046185
nsga3,NSGA-III,2,16,1600,28,1943.9482000241514
nsga3,NSGA-III,2,17,1700,27,2019.428309836458
nsga3,NSGA-III,2,18,1800,31,2112.721050133704
nsga3,NSGA-III,2,19,1900,34,2161.5145511581095
nsga3,NSGA-III,2,20,2000,35,2192.8866535784696
nsga3,NSGA-III,2,21,2100,33,2241.2666474911643
nsga3,NSGA-III,2,22,2200,34,2195.4938872065495
nsga3,NSGA-III,2,23,2300,36,2247.6700846016706
nsga3,NSGA-III,2,24,2400,36,2254.736528114573
nsga3,NSGA-III,2,25,2500,38,2355.0674447098904
nsga3,NSGA-III,2,26,2600,38,2346.879208358677
nsga3,NSGA-III,2,27,2700,38,2355.8797371751534
nsga3,NSGA-III,2,28,2800,38,2363.321040828694
nsga3,NSGA-III,2,29,2900,39,2494.03894431586
nsga3,NSGA-III,2,30,3000,35,2487.372727523649
nsga3,NSGA-III,2,31,3100,36,2549.3827436487472
nsga3,NSGA-III,2,32,3200,35,2549.540530125182
nsga3,NSGA-III,2,33,3300,37,2543.669347943804
nsga3,NSGA-III,2,34,3400,38,2560.59470944079
nsga3,NSGA-III,2,35,3500,37,2578.431597674986
nsga3,NSGA-III,2,36,3600,37,2584.8175305669342
nsga3,NSGA-III,2,37,3700,38,2631.366655235003
nsga3,NSGA-III,2,38,3800,40,2657.144049794294
nsga3,NSGA-III,2,39,3900,40,2660.112988343928
nsga3,NSGA-III,2,40,4000,41,2679.6541226606237
nsga3,NSGA-III,3,1,100,8,511.973091107351
nsga3,NSGA-III,3,2,200,16,539.2388760048967
nsga3,NSGA-III,3,3,300,9,877.9697598539972
nsga3,NSGA-III,3,4,400,15,1004.9693991983861
nsga3,NSGA-III,3,5,500,21,1026.9142082027743
nsga3,NSGA-III,3,6,600,25,1045.7314091899775
nsga3,NSGA-III,3,7,700,23,1063.5830915043034
nsga3,NSGA-III,3,8,800,22,1466.6187255251912
nsga3,NSGA-III,3,9,900,23,1586.7387761780867
nsga3,NSGA-III,3,10,1000,26,1607.230681025131
nsga3,NSGA-III,3,11,1100,29,1634.6963934007117
nsga3,NSGA-III,3,12,1200,29,1652.8132540826607
nsga3,NSGA-III,3,13,1300,32,1681.001509649621
nsga3,NSGA-III,3,14,1400,34,1784.6921119979152
nsga3,NSGA-III,3,15,1500,36,1873.4557377890155
nsga3,NSGA-III,3,16,1600,38,1945.2984687630938
nsga3,NSGA-III,3,17,1700,40,1971.1061471307962
nsga3,NSGA-III,3,18,1800,37,1981.1258280514803
nsga3,NSGA-III,3,19,1900,38,1981.715473776052
nsga3,NSGA-III,3,20,2000,35,2137.4235487682545
nsga3,NSGA-III,3,21,2100,37,2164.838852748288
nsga3,NSGA-III,3,22,2200,38,2173.63848334062
nsga3,NSGA-III,3,23,2300,40,2187.4545191266848
nsga3,NSGA-III,3,24,2400,43,2202.7381559551714
nsga3,NSGA-III,3,25,2500,45,2209.981603832434
nsga3,NSGA-III,3,26,2600,42,2201.1938976215542
nsga3,NSGA-III,3,27,2700,28,2211.5449985186356
nsga3,NSGA-III,3,28,2800,39,2214.410948781794
nsga3,NSGA-III,3,29,2900,41,2316.362534160043
nsga3,NSGA-III,3,30,3000,43,2328.135647634108
nsga3,NSGA-III,3,31,3100,44,2308.67080439829
nsga3,NSGA-III,3,32,3200,37,2357.2494874210706
nsga3,NSGA-III,3,33,3300,38,2349.764363437747
nsga3,NSGA-III,3,34,3400,38,2360.1072811930685
nsga3,NSGA-III,3,35,3500,39,2364.045803687397
nsga3,NSGA-III,3,36,3600,39,2373.088807793068
nsga3,NSGA-III,3,37,3700,39,2375.573068199833
nsga3,NSGA-III,3,38,3800,39,2391.0212704721607
nsga3,NSGA-III,3,39,3900,40,2394.0097362199313
nsga3,NSGA-III,3,40,4000,36,2436.019067078698
nsga3,NSGA-III,4,1,100,8,522.5519078779524
nsga3,NSGA-III,4,2,200,9,527.6252276214896
nsga3,NSGA-III,4,3,300,15,923.900431040299
nsga3,NSGA-III,4,4,400,11,935.8797389994143
nsga3,NSGA-III,4,5,500,16,1020.1135316909359
nsga3,NSGA-III,4,6,600,20,1076.6530153800757
nsga3,NSGA-III,4,7,700,25,1133.8466037415521
nsga3,NSGA-III,4,8,800,27,1209.2801415515473
nsga3,NSGA-III,4,9,900,29,1231.4547207704309
nsga3,NSGA-III,4,10,1000,33,1309.7126711100973
nsga3,NSGA-III,4,11,1100,34,1423.3551584411966
nsga3,NSGA-III,4,12,1200,31,1681.8296268725453
nsga3,NSGA-III,4,13,1300,29,1708.3032422592378
nsga3,NSGA-III,4,14,1400,31,1888.6795687649517
nsga3,NSGA-III,4,15,1500,31,2026.8929892253352
nsga3,NSGA-III,4,16,1600,38,2132.180527087843
nsga3,NSGA-III,4,17,1700,38,2137.7607714824253
nsga3,NSGA-III,4,18,1800,33,2099.581063626308
nsga3,NSGA-III,4,19,1900,31,2167.6822186061117
nsga3,NSGA-III,4,20,2000,35,2317.105347583671
nsga3,NSGA-III,4,21,2100,32,2331.630079669545
nsga3,NSGA-III,4,22,2200,32,2326.473496729907
nsga3,NSGA-III,4,23,2300,36,2542.4871947217903
nsga3,NSGA-III,4,24,2400,37,2582.7639590394383
nsga3,NSGA-III,4,25,2500,37,2597.4813512619844
nsga3,NSGA-III,4,26,2600,37,2596.1373381778903
nsga3,NSGA-III,4,27,2700,37,2575.141636843331
nsga3,NSGA-III,4,28,2800,38,2614.7990078089883
nsga3,NSGA-III,4,29,2900,40,2672.3508786908583
nsga3,NSGA-III,4,30,3000,39,2653.4618302331073
nsga3,NSGA-III,4,31,3100,40,2692.6122812775097
nsga3,NSGA-III,4,32,3200,40,2736.4647994089732
nsga3,NSGA-III,4,33,3300,40,2764.1482599795418
