selection,found_by,temperature_c,corner,retention_time_s_predicted,retention_time_s_simulated,read_delay_ns_predicted,read_delay_ns_simulated,total_power_nw_predicted,total_power_nw_simulated,read_margin_mv_predicted,read_margin_mv_simulated,write_efficiency_simulated,read_success,write_success,retention_time_s_rel_error_pct,read_delay_ns_rel_error_pct,total_power_nw_rel_error_pct,read_margin_mv_rel_error_pct
best_read_delay_ns,nsga2,85.0,SS,0.03029309335517312,0.03602830330741241,0.1608660662140271,0.183444,4.27151613004095,4.977114150497304,229.56458778486416,241.066,0.9704824999592532,True,True,15.918623486938777,12.307807170565889,14.176850261428143,4.7710636154148
best_read_delay_ns,nsga2,125.0,SS,0.0004789254050805842,0.0005853178420949831,0.19953772448013912,0.235609,4.992132588680574,5.9033515931353255,230.59014410550884,242.04000000000002,0.9700729288952813,True,True,18.176865518672148,15.309803751071007,15.43562144450885,4.730563499624516
best_read_delay_ns,nsga2,85.0,FF,0.03191877702693296,0.03602830330741241,0.047266433905439886,0.183444,8.79040430055515,4.977114150497304,227.98656858810844,241.066,0.9704824999592532,True,True,11.406383046725283,74.2338621566037,76.61648969165854,5.425664096924312
best_total_power_nw,nsga2,27.0,TT,0.8198672628010265,1.044827424752051,9.173123632052022,10.336,0.27540729876380854,0.25642686157863304,79.1712206070241,82.71600000000001,0.9862576109435638,True,True,21.530843909883973,11.250738853985862,7.401891154587629,4.285482123139309
best_total_power_nw,nsga2,85.0,SS,0.011849290849336475,0.021694042205428588,25.03702383667448,10.9135,0.25404099586698925,0.2776782107240107,72.80230170332241,82.54,0.9845736340248137,True,True,45.37997696726441,129.41333061505912,8.512448562453073,11.797550638087705
best_total_power_nw,nsga2,125.0,SS,0.00021684162062461903,0.00031361944097160104,23.791783720593592,11.1652,0.27616981909512733,0.34879562580025386,74.60305374888274,82.49200000000006,0.9834255961589321,True,True,30.858361346210504,113.0887375111381,20.82188001598318,9.563286441251652
best_total_power_nw,nsga2,85.0,FF,0.02050745112422743,0.021694042205428588,4.949733729576026,10.9135,0.31610786455523465,0.2776782107240107,84.87510987424021,82.54,0.9845736340248137,True,True,5.469663375616704,54.6457714795801,13.839636077682682,2.8290645435427706
best_read_margin_mv,moead,27.0,TT,1.9884453024587816,1.958937513597518,0.5659420018145858,0.624325,2.7071085809375437,2.721092923982752,286.2031903870344,295.468,0.9494662332890426,True,True,1.5063159828448844,9.35137919920142,0.5139237591614529,3.135638922985102
best_read_margin_mv,moead,85.0,SS,0.018210199769518366,0.01833823692749081,0.9472483929858275,1.0062900000000001,2.210249374104196,2.93740037221214,286.15355478878456,297.17400000000004,0.9488585330530377,True,True,0.6981977519360376,5.867255663295134,24.754916115174673,3.7084150064324177
best_read_margin_mv,moead,125.0,SS,0.00034178951836313015,0.0003362825172305825,1.171132496594175,1.3211499999999998,2.473138282481905,3.2772451605366486,286.2201643479157,298.2219999999999,0.9484046809780468,True,True,1.637611487477833,11.355069704865072,24.53606119363591,4.024463537929528
best_read_margin_mv,moead,85.0,FF,0.01756120276986476,0.01833823692749081,0.7144271990197889,1.0062900000000001,3.9275677896461083,2.93740037221214,287.14691209757416,297.17400000000004,0.9488585330530377,True,True,4.237234804514933,29.003845907264424,33.708970244607094,3.3741470998222844
compromise,nsga2,27.0,TT,42.04766463850609,27.260680597476245,1.3309898370378093,1.0227199999999999,8.2322858908611,7.8237807876478636,264.8335060935233,273.09399999999994,0.9989561953063503,True,True,54.242901193005444,30.14215396568068,5.221326035338074,3.024780444270711
compromise,nsga2,85.0,SS,1.2281679649236075,0.8148453286100249,2.2457976218933142,1.61318,7.473132782160552,8.126111833099731,264.5792168609227,272.07800000000003,0.9963651417328254,True,True,50.724060358624676,39.21556316674606,8.03556564751458,2.756115209269885
compromise,nsga2,125.0,SS,0.020972958455292696,0.012941734661129453,2.9397387867482596,2.11312,8.032676746222377,8.603814367497616,261.4859734694829,269.263,0.9893778561201361,True,True,62.056779902040894,39.11840249244055,6.638190886972292,2.888264087719852
compromise,nsga2,85.0,FF,1.2063918619096314,0.8148453286100249,1.666235852818409,1.61318,10.091379228507224,8.126111833099731,265.2032544894916,272.07800000000003,0.9963651417328254,True,True,48.051638703938124,3.2888984997587905,24.184596960657814,2.526755382834493
compromise,nsga2,27.0,TT,48.05611128985747,28.350917004850686,1.3488233700860388,1.01977,9.369785345696965,8.748501363094862,266.50974290840946,275.60300000000007,0.9989445394108672,True,True,69.50460996247611,32.26741030683769,7.101604684237232,3.299404248716668
compromise,nsga2,85.0,SS,1.2911914434518261,0.9012605221010811,2.2720103655729815,1.61012,8.43560709684446,9.112388098286702,266.0623297734905,274.357,0.9958517842212306,True,True,43.265061742825594,41.10813886995886,7.42704320911759,3.023312773688857
compromise,nsga2,125.0,SS,0.022625772296153437,0.013619722382824374,2.898571140188742,2.11424,8.948518249120523,9.632038907372376,259.544412363405,270.353,0.9862965555010103,True,True,66.12506231908557,37.09754522612105,7.09632368416499,3.9979536519272973
compromise,nsga2,85.0,FF,1.2373578225143709,0.9012605221010811,1.6830120885192459,1.61012,11.465855976538709,9.112388098286702,266.3595970486665,274.357,0.9958517842212306,True,True,37.291914177019144,4.527121489034723,25.82712514949294,2.9149622394666532
compromise,nsga3,27.0,TT,47.514016145142854,28.44980494571071,0.9784164257225556,0.840576,7.886795557737756,7.664760971588546,257.44928642428573,262.834,0.9988011958990406,True,True,67.00998912228533,16.39832992169127,2.8968233578612503,2.0487127143802826
compromise,nsga3,85.0,SS,1.2878233918623152,0.8467446278006777,1.8454164875975134,1.31738,7.5058549330520075,8.0038748117567,248.68377724096496,255.68199999999996,0.9934677758817535,True,True,52.091120460638656,40.082321547124856,6.222234735270518,2.7370807327207247
compromise,nsga3,125.0,SS,0.02116123147020797,0.012491745744316298,2.4637925094678144,1.7396500000000001,7.918217635756598,8.565035090453986,236.99211353944722,238.29300000000003,0.9801863570116373,True,True,69.40171456688715,41.62575859901786,7.551836599225228,0.54591887321609
compromise,nsga3,85.0,FF,1.158175872695169,0.8467446278006777,1.3670772131936573,1.31738,9.7638911493498,8.0038748117567,254.19569887297712,255.68199999999996,0.9934677758817535,True,True,36.77983121114075,3.7724280916407773,21.989553547337504,0.5813084718606869
compromise,nsga2,27.0,TT,47.006693688354744,28.68218685450441,1.3975739467967208,1.1065500000000001,8.951386036227312,8.374564937821285,258.4029806229186,265.65900000000005,0.9989641064523566,True,True,63.888109113871685,26.300117192781215,6.887773904540193,2.7313282731175788
compromise,nsga2,85.0,SS,1.3300789259363581,0.8903505444552899,2.427932721367961,1.7418200000000001,8.11410029211552,8.708636542694412,258.226437917592,265.06399999999996,0.9973578649532491,True,True,49.38823076141216,39.39056397147587,6.826972829376407,2.5795891114628704
compromise,nsga2,125.0,SS,0.02172034752861246,0.013153586325285377,3.141273503533384,2.27682,8.599171799142269,9.188409109970163,256.54646686266625,262.57499999999993,0.9911061210792714,True,True,65.12871084336173,37.96758213356278,6.412832774158086,2.2959280728682026
compromise,nsga2,85.0,FF,1.2244857903947637,0.8903505444552899,1.7512718697107206,1.7418200000000001,10.91637088551926,8.708636542694412,258.6535236649914,265.06399999999996,0.9973578649532491,True,True,37.52850470191999,0.5426433104867568,25.351090632860252,2.418463591815027
