metric,group_1,group_2,n_pairs,statistic,p_value,median_1,median_2,cliffs_delta,effect_magnitude,a12,p_value_holm,significant
read_margin_mv,baseline,combined_low_power,300,35.0,8.638896840499183e-51,39.72400000000001,67.9015,-0.5308888888888889,large,0.23455555555555554,4.2583320351881877e-50,True
read_margin_mv,baseline,high_k_capacitor,300,15.0,7.070630025820622e-51,39.72400000000001,36.31200000000007,0.11698888888888889,negligible,0.5584944444444444,4.2583320351881877e-50,True
read_margin_mv,baseline,negative_wordline,300,12785.5,7.51178757614963e-11,39.72400000000001,39.721000000000004,-0.0018444444444444443,negligible,0.4990777777777778,1.502357515229926e-10,True
read_margin_mv,baseline,refresh_interval_opt,300,,1.0,39.72400000000001,39.72400000000001,0.0,negligible,0.5,1.0,False
read_margin_mv,baseline,sense_amp_upsize,300,0.0,6.083331478840268e-51,39.72400000000001,39.27599999999998,0.01672222222222222,negligible,0.5083611111111112,4.2583320351881877e-50,True
read_margin_mv,baseline,wordline_boost,300,0.0,6.083559849691437e-51,39.72400000000001,61.92649999999997,-0.47457777777777777,large,0.2627111111111111,4.2583320351881877e-50,True
total_power_nw,baseline,bitline_precharge_opt,300,858.0,2.8195983006585183e-47,3.0399156569912864,3.4855192789440883,-0.0758,negligible,0.4621,1.4097991503292592e-46,True
total_power_nw,baseline,combined_low_power,300,196.0,4.305498996268465e-50,3.0399156569912864,5.784420057625052,-0.36006666666666665,medium,0.3199666666666667,2.583299397761079e-49,True
total_power_nw,baseline,high_k_capacitor,300,2589.0,2.6184262713758514e-40,3.0399156569912864,4.574125298821388,-0.1991111111111111,small,0.40044444444444444,1.0473705085503406e-39,True
total_power_nw,baseline,negative_wordline,300,17290.0,0.0004405027561781583,3.0399156569912864,3.0387485117040707,0.0017333333333333333,negligible,0.5008666666666667,0.0008810055123563166,True
total_power_nw,baseline,refresh_interval_opt,300,,1.0,3.0399156569912864,3.0399156569912864,0.0,negligible,0.5,1.0,False
total_power_nw,baseline,sense_amp_upsize,300,0.0,6.083559849691437e-51,3.0399156569912864,3.420158988588646,-0.08831111111111112,negligible,0.45584444444444444,4.2584918947840057e-50,True
total_power_nw,baseline,wordline_boost,300,14413.0,5.706384923183429e-08,3.0399156569912864,3.2328664421959354,-0.033244444444444445,negligible,0.4833777777777778,1.7119154769550287e-07,True
energy_per_access_fj,baseline,bitline_precharge_opt,300,315.0,1.4009722234751521e-49,28.647798725102547,32.54177132695658,-0.0774,negligible,0.4613,7.004861117375761e-49,True
energy_per_access_fj,baseline,combined_low_power,300,212.0,5.047495943227231e-50,28.647798725102547,52.50959023065913,-0.3418,medium,0.3291,3.0284975659363387e-49,True
energy_per_access_fj,baseline,high_k_capacitor,300,2286.0,1.7366044954803885e-41,28.647798725102547,43.3051263365916,-0.20466666666666666,small,0.39766666666666667,6.946417981921554e-41,True
energy_per_access_fj,baseline,negative_wordline,300,7177.0,1.3159286641503947e-24,28.647798725102547,28.629479641411805,0.0032222222222222222,negligible,0.5016111111111111,3.947785992451184e-24,True
energy_per_access_fj,baseline,refresh_interval_opt,300,,1.0,28.647798725102547,28.647798725102547,0.0,negligible,0.5,1.0,False
energy_per_access_fj,baseline,sense_amp_upsize,300,0.0,6.083559849691437e-51,28.647798725102547,32.65953622040148,-0.08037777777777778,negligible,0.4598111111111111,4.2584918947840057e-50,True
energy_per_access_fj,baseline,wordline_boost,300,8254.0,1.6739768962912589e-21,28.647798725102547,29.260405006611002,-0.003533333333333333,negligible,0.4982333333333333,3.3479537925825177e-21,True
leakage_current_fa,baseline,bitline_precharge_opt,300,18349.0,0.004949402765924404,1.5085314228335973,1.5153670798109637,0.00046666666666666666,negligible,0.5002333333333333,0.009898805531848808,True
leakage_current_fa,baseline,combined_low_power,300,7.0,6.525843069113243e-51,1.5085314228335973,486.4238056904226,-0.7191111111111111,large,0.14044444444444446,4.2584918947840057e-50,True
leakage_current_fa,baseline,high_k_capacitor,300,8.0,6.591586886147657e-51,1.5085314228335973,19.579239500191242,-0.4765333333333333,large,0.2617333333333333,4.2584918947840057e-50,True
leakage_current_fa,baseline,negative_wordline,300,14618.0,1.213570718510436e-07,1.5085314228335973,18.181261624820706,-0.1968,small,0.4016,3.6407121555313085e-07,True
leakage_current_fa,baseline,refresh_interval_opt,300,,1.0,1.5085314228335973,1.5085314228335973,0.0,negligible,0.5,1.0,False
leakage_current_fa,baseline,sense_amp_upsize,300,149.0,3.902897589574046e-49,1.5085314228335973,1.508482421926164,0.003211111111111111,negligible,0.5016055555555555,1.5611590358296184e-48,True
leakage_current_fa,baseline,wordline_boost,300,0.0,6.083559849691437e-51,1.5085314228335973,2.674455712348948,-0.20342222222222223,small,0.3982888888888889,4.2584918947840057e-50,True
refresh_interval_ms,baseline,bitline_precharge_opt,221,0.0,5.196919962223324e-38,424.3014943103712,740.9161153113508,-0.17446407731209435,small,0.4127679613439528,3.637843973556327e-37,True
refresh_interval_ms,baseline,combined_low_power,221,4823.0,5.249771593604154e-15,424.3014943103712,190.12517262201567,0.2203271841280891,small,0.6101635920640446,1.0499543187208308e-14,True
refresh_interval_ms,baseline,high_k_capacitor,221,1329.0,1.4410818040060518e-30,424.3014943103712,69.27366321275593,0.43657992260600725,medium,0.7182899613030036,4.323245412018155e-30,True
refresh_interval_ms,baseline,negative_wordline,221,53.0,1.0682723089926608e-37,424.3014943103712,274.54156216136295,0.0966196433324461,negligible,0.548309821666223,5.341361544963304e-37,True
refresh_interval_ms,baseline,refresh_interval_opt,221,,1.0,424.3014943103712,424.3014943103712,0.0,negligible,0.5,1.0,False
refresh_interval_ms,baseline,sense_amp_upsize,221,154.0,4.2601304511823684e-36,424.3014943103712,424.14091080383787,0.00436109006777093,negligible,0.5021805450338854,1.7040521804729473e-35,True
refresh_interval_ms,baseline,wordline_boost,221,0.0,5.196919962223324e-38,424.3014943103712,790.4369228873798,-0.20591306484306218,small,0.3970434675784689,3.637843973556327e-37,True
