target,model,family,n_compare,n_train,cv_r2_mean,cv_r2_std,test_r2,test_rmse,test_mae,test_mape,fit_time_s,predict_us_per_sample
log10_retention_time_s,catboost,boosting,15000,42491,0.7971678499044638,0.008133578061121654,0.8261055321003502,1.7349289795658813,1.0161761486200855,415.46135802743987,6.0688,1.9765
log10_retention_time_s,lightgbm,boosting,15000,42491,0.7848575061691183,0.006945814561041483,0.8199737088648841,1.7652522979619705,0.9576921190697553,346.04504632463045,1.5945,5.6241
log10_retention_time_s,xgboost,boosting,15000,42491,0.7785308423704091,0.010485623822436676,0.8188405474346567,1.7707992043772816,0.9347076470487541,340.03200312877027,16.8952,21.5144
log10_retention_time_s,hist_gbr,ensemble,15000,42491,0.7755886409716359,0.008489376495684802,0.800056680841515,1.8603397553942695,1.0567315728099838,427.860336495036,2.4196,29.0887
log10_retention_time_s,extra_trees,ensemble,15000,42491,0.6933317487257812,0.007081873191954869,0.7300076677230221,2.1617951272176477,1.0968320592861247,367.74122374052564,3.0975,17.6812
log10_retention_time_s,random_forest,ensemble,15000,42491,0.6802344808721479,0.010420383000676358,0.7210533370810902,2.1973508369527086,1.0904130350093162,399.6154837470533,8.088,13.0177
log10_retention_time_s,poly2_ridge,linear,15000,42491,0.6836711877416499,0.004772433572875902,0.6848620797604752,2.3355499001325213,1.692583561010082,888.6839521053323,0.5985,4.3844
log10_retention_time_s,svr_rbf,kernel,15000,5000,0.6614780612230143,0.015266510785569664,0.6685718899641877,2.395154254990367,1.4023360600477779,581.0819942557617,5.8303,399.1319
log10_retention_time_s,gpr,kernel,15000,2000,0.6715919033851792,0.010087377805530508,0.6655516509968826,2.406042789031958,1.7078485919050754,878.5648841136656,53.4089,80.9862
log10_retention_time_s,knn,neighbour,15000,42491,0.5388388758769785,0.0126224560659528,0.5910078983549591,2.660702262438564,1.53812918906573,568.1553763887204,0.0819,123.2362
log10_retention_time_s,elasticnet,linear,15000,42491,0.46293035699312474,0.008114139070841943,0.4630740699792334,3.0485688475476045,2.403766045641243,1251.7080230723475,10.5904,1.5616
log10_retention_time_s,ridge,linear,15000,42491,0.4629747585025844,0.008211124044033765,0.46302456875812714,3.0487093738233084,2.403151876399333,1250.6354926475658,0.0952,1.0179
log10_total_power_nw,mlp_deep,neural,15000,42491,0.973618033643945,0.0023988226879201216,0.982660642628256,0.05172943363353076,0.020646019698230735,17.01884232333667,53.7214,3.6624
log10_total_power_nw,mlp,neural,15000,42491,0.9637444287582418,0.0022290483324079093,0.9791104054173144,0.05677880271330902,0.026590771719916168,25.496480990006138,13.3206,1.5222
log10_total_power_nw,catboost,boosting,15000,42491,0.9701958352582654,0.0023095314861151183,0.9718971972076194,0.06585610520900041,0.03813923782908535,37.105828499599994,6.3966,2.1766
log10_total_power_nw,xgboost,boosting,15000,42491,0.9638176662002017,0.002412035184663594,0.9711074785941155,0.06677500766016244,0.03804760119173101,36.448867750502714,14.4739,21.9927
log10_total_power_nw,lightgbm,boosting,15000,42491,0.9658112386483071,0.0022321677021597754,0.9707436935225785,0.06719407396461795,0.03935770398042507,38.57472016976995,2.471,7.2695
log10_total_power_nw,hist_gbr,ensemble,15000,42491,0.964000253356995,0.0017202580280396061,0.9683843901191255,0.06985090007424098,0.04259285302373875,41.67815135104146,3.5668,32.4513
log10_total_power_nw,random_forest,ensemble,15000,42491,0.9279660392747655,0.0029596576014716464,0.9450477552070472,0.09209031185319969,0.05806064682115219,61.10775471608333,7.011,18.9557
log10_total_power_nw,extra_trees,ensemble,15000,42491,0.9243489829032517,0.004048404971220664,0.9436378951384202,0.09326416932706007,0.060364501704859276,64.99662261760383,3.8134,20.6486
log10_total_power_nw,poly2_ridge,linear,15000,42491,0.9403814149219327,0.0031306213161485363,0.93869103322381,0.09727096473325653,0.06660725308601147,53.90352476685827,0.3759,3.5137
log10_total_power_nw,gpr,kernel,15000,2000,0.9350472310538912,0.0038258060165399614,0.9329142675288152,0.10175044274410247,0.06805977410018435,56.29572669814671,43.7908,136.6398
log10_total_power_nw,svr_rbf,kernel,15000,5000,0.9273819062452521,0.0028939057889033715,0.9177223364956009,0.11268398568366883,0.07915380172221245,66.55523760441439,2.8316,833.3448
log10_total_power_nw,ridge,linear,15000,42491,0.8644698126770001,0.002015841711626993,0.8676764787549858,0.1429024745715605,0.1074369056026317,93.88485694145712,0.1306,1.1665
log10_total_power_nw,elasticnet,linear,15000,42491,0.8634679211191261,0.0021245821299267563,0.8666792004925645,0.14343996789883737,0.10804925162254249,95.44198842903427,2.1345,0.9677
log10_total_power_nw,knn,neighbour,15000,42491,0.7906359913996317,0.002596801263832793,0.829752934914268,0.16209179869508314,0.11589945114279734,131.69219494487905,0.0887,120.662
read_delay_ns,mlp_deep,neural,15000,33374,0.9710846880657625,0.004093598125427694,0.9877842890660626,1.0309366197182026,0.42366782265684005,6.292638716440951,29.4414,2.3905
read_delay_ns,mlp,neural,15000,33374,0.96790127057495,0.003776230891408276,0.9848123518899653,1.149523504717465,0.5135045339336989,10.504923330353028,11.7775,1.6927
read_delay_ns,catboost,boosting,15000,33374,0.9365836795036107,0.0021277976877576675,0.9562087053093759,1.951940096685428,1.0516837313781364,17.983056850443166,6.0325,2.3897
read_delay_ns,lightgbm,boosting,15000,33374,0.9189143331910621,0.004328156481653216,0.9446148642732163,2.1951752875571127,1.137435907679473,16.852731143803876,1.9778,6.7404
