response,feature,mean_abs_shap,mean_shap,std_shap,importance_pct
log10_total_power_nw,num__stored_charge_c,0.05285738480423079,-0.010614127804038467,0.061611464814862994,5.5249062478763555
log10_total_power_nw,num__vgs_retention,0.0510545202461702,0.0011883722722631092,0.06815196557362557,5.336462235789958
log10_total_power_nw,num__signal_charge_c,0.048408899445542906,-0.009144822307903835,0.057512672086850104,5.059929317163091
log10_total_power_nw,num__wsan,0.04419959875273312,-0.011642655290284321,0.05068270799730546,4.619953109807603
log10_total_power_nw,cat__corner_FF,0.03836550471472597,0.03836550471472597,0.08538826827813327,4.010145743804434
log10_total_power_nw,num__vwl_low,0.03342376956816105,-0.002565438137743193,0.04290809099594455,3.493611990049342
log10_total_power_nw,num__sa_aspect,0.030412898961002723,-0.007466963314575164,0.0359608315493496,3.178901417616616
log10_total_power_nw,num__vwl_overdrive,0.030214235324040106,-0.0039314826607334515,0.04098992339903548,3.1581361456844954
log10_total_power_nw,cat__corner_TT,0.029774171098268153,0.029537571061285836,0.06064512181216178,3.1121385315490393
log10_total_power_nw,num__cs,0.027260778129848305,-0.00845766284765905,0.03655375132848464,2.8494266973176976
log10_total_power_nw,cat__corner_SF,0.025209973357338437,0.025209973357338437,0.05807231001249406,2.635066790130093
read_margin_mv,num__vdd,12.521399226831475,-0.33354149117443854,15.769014357332415,11.6488523478576
read_margin_mv,num__cbl_ratio,8.086453071006725,-0.14480061087209098,9.845565772997725,7.522952997152671
read_margin_mv,num__cbl_over_cs,7.95636773252804,-0.12858888549398048,9.766170717969565,7.401932584568739
read_margin_mv,num__vgs_retention,7.155740419442726,-0.014761258897232033,9.216306429740566,6.6570965493269485
read_margin_mv,num__vwl_boost,6.010971706393673,2.390859447204209,9.53188885661483,5.592100419966264
read_margin_mv,num__vwl_overdrive,5.952828574312104,2.469918118078378,9.787009650685642,5.5380089603465725
read_margin_mv,num__charge_share_ratio,5.504175605649354,0.19162487685908192,8.679501274903645,5.120620129218084
read_margin_mv,num__vblpre_ratio,5.4568500220306335,0.22027946677593896,7.439607434930856,5.076592403093888
read_margin_mv,num__vwl_low,4.935936453098508,0.05297903358615544,6.394905454388323,4.59197841223231
read_margin_mv,cat__corner_FF,4.684716775184558,3.7292625498389573,10.897572017521897,4.3582648406192375
read_margin_mv,cat__corner_SF,4.505706355560954,3.0972516826270886,9.957351602281808,4.191728664498044
read_margin_mv,cat__corner_SS,4.373658962819321,2.298383787537879,10.659435472240755,4.068882922332846
read_margin_mv,cat__corner_TT,4.257589563477937,3.433520926609084,9.632995298192052,3.96090175580834
read_margin_mv,cat__corner_FS,4.194293041528305,3.5205393161070915,10.113359454474773,3.902016017484128
read_margin_mv,num__t_write_pulse,4.132346422772008,-2.6088487178236086,6.440816726253895,3.844386115085134
write_efficiency,num__vwl_overdrive,0.06418508420270594,-0.010007079331899033,0.07845550637427924,15.954568036142613
write_efficiency,cat__corner_FF,0.04161577557031584,0.04161577557031584,0.07587011765691351,10.34448627685144
write_efficiency,cat__corner_FS,0.03431013365631786,0.03431013365631786,0.06716263615317768,8.528513572095497
write_efficiency,num__t_write_pulse,0.031397652492954245,-0.02100070147103886,0.05306288408282156,7.804554424077278
write_efficiency,cat__corner_TT,0.028914814406405726,0.028914814406405726,0.06017268764775335,7.187392202252313
write_efficiency,cat__corner_SF,0.0280466593253152,0.0280466593253152,0.054217575788337045,6.971593789283996
write_efficiency,num__vwl_boost,0.018556530594093134,-0.003491379260408588,0.024207140113096774,4.612620417279741
write_efficiency,cat__corner_SS,0.01752579830520448,0.01752579830520448,0.04432444356071605,4.356409980939303
write_efficiency,num__wsan,0.01717145840291245,-0.0019587176034054025,0.020563413938242382,4.268331260637493
write_efficiency,num__cs,0.017146082613227916,0.00036919149201155357,0.024712642315264467,4.2620235683126815
write_efficiency,num__sa_aspect,0.016086145594884135,0.0024204833354724863,0.019165809797427862,3.9985536752175026
write_efficiency,num__vdd,0.010199243879670307,-0.005333089888588467,0.019966305512801773,2.5352390265860376
write_efficiency,num__temperature_k,0.009581794206596321,0.0012850542379175675,0.013475232503104185,2.3817587758342964
write_efficiency,num__cbl_ratio,0.009571275750812772,-0.0007334472359795058,0.011349058396808047,2.3791441898986636
write_efficiency,num__charge_share_ratio,0.007638901245899093,0.0014220743369273855,0.008662810830325579,1.8988114008571102
